#sslii，yrycu，chs，hig1，mwos2五行，有兩個字擠在一行
#蒼頡六代內碼表，實際共71320行
日 a
䐆 bbd
骳 bbdhe
脟 bbdi
&~bbd1; bbd1
&~bbd2; bbd2
&~bbd3; bbd3
受 bbe
&~bbeee; bbeee
&~bbehz; bbehz
&~bbenl; bbenl
&~bbfb; bbfb
&~bbfbc; bbfbc
髅 bbfdv
&~bbff; bbff
&~bbfh; bbfh
&~bbfhu; bbfhu
䯑 bbfmu
&~bbg; bbg
&~bbgce; bbgce
䯓 bbgg
髐 bbggu
&~bbgnl; bbgnl
&~bbgsk; bbgsk
&~bbhae; bbhae
&~bbhal; bbhal
&~bbhau; bbhau
&~bbhdv; bbhdv
&~bbhe; bbhe
骼 bbher
&~bbhf; bbhf
骿 bbhh
䯡 bbhhc
&~bbhhl; bbhhl
&~bbhjf; bbhjf
&~bbhjg; bbhjg
&~bbhjm; bbhjm
䯏 bbhjr
&~bbhju; bbhju
&~bbhk; bbhk
鹏 bbhm
&~bbhml; bbhml
骺 bbhmr
&~bbhmy; bbhmy
&~bbhn; bbhn
骰 bbhne
骪 bbhni
䯒 bbhon
&~bbhp; bbhp
&~bbhqo; bbhqo
&~bbhrr; bbhrr
&~bbhsb; bbhsb
觅 bbhu
骶 bbhui
骶 bbhum
&~bbhur; bbhur
&~bbhvf; bbhvf
&~bbhwi; bbhwi
髀 bbhwj
&~bbhw1; bbhw1
&~bbhw2; bbhw2
鹘 bbhym
鵬 bbhz
䯖 bbiav
髆 bbibi
&~bbici; bbici
髍 bbidd
&~bbidi; bbidi
&~bbihr; bbihr
䯙 bbijb
髍 bbijc
&~bbiji; bbiji
䯋 bbike
䯋 bbikk
骮 bbip
&~bbisb; bbisb
&~bbite; bbite
&~bbixp; bbixp
&~bbjcm; bbjcm
&~bbje; bbje
髕 bbjfc
䯔 bbjhp
髂 bbjhr
腪 bbjj
䯘 bbjmu
䯛 bbjnu
髌 bbjoc
髉 bbjog
&~bbjp; bbjp
&~bbjqr; bbjqr
骷 bbjr
髖 bbjti
髋 bbjtu
&~bbjwi; bbjwi
骵 bbjz
&~bbkcf; bbkcf
爱 bbke
&~bbkf; bbkf
&~bbkk; bbkk
䯝 bbkmb
&~bbkmm; bbkmm
&~bbkmr; bbkmr
骻 bbkms
骩 bbkn
骫 bbkni
骫 bbknk
&~bbkq; bbkq
&~bbks; bbks
䯎 bbl
&~bblbu; bblbu
䯣 bblmc
&~bbln; bbln
&~bbln1; bbln1
&~bbltd; bbltd
&~bblto; bblto
&~bblvk; bblvk
&~bblws; bblws
髏 bblwv
册 bbm
骬 bbmd
&~bbmdr; bbmdr
䐘 bbme
&~bbme1; bbme1
&~bbmgi; bbmgi
